maxArrayPanelsCount,maxArrayAreaMeters2,numSegments,maxSunshineHoursPerYear,totSunshineHoursPerYear,areaMeters2,groundAreaMeters2,maxYearlyEnergyDcKwh,numTreePointsInFootprint,footprinAreaMeters2,longitude,latitude
30,58.906664,2,1130.331961,390779.9633,94.107083,90.322003,11007.35889,2.176857,172.726072,-84.37349,33.781549
0,0,1,0,0,0,0,0,4.343554,229.765765,-84.373481,33.781317
174,341.658763,4,1450.960102,2.4777e+6,432.548627,421.811686,79310.08213,1.338616,567.003723,-84.373303,33.781408
177,347.548978,2,1521.436833,3.0333e+6,416.081556,410.703971,97677.28098,0.718613,526.012952,-84.372991,33.781413
96,188.501162,2,1520.638618,1.2554e+6,214.42811,208.674441,50180.67482,0.236082,237.205698,-84.380291,33.781639
42,82.46934,2,1316.891555,501690.8465,101.535919,100.17234,18273.03349,1.119569,139.339305,-84.380136,33.781637
76,149.229867,5,1302.270153,987473.908,194.251261,187.34697,31792.45537,2.174379,328.829491,-84.379951,33.781535
40,78.542232,1,1261.704405,494836.6905,97.365164,96.983251,16848.42669,1.023354,124.101669,-84.380029,33.781636
96,188.501147,9,1534.450564,1.7548e+6,295.214918,281.009247,51763.26557,0.179476,362.164585,-84.376648,33.781491
52,102.10484,10,1456.325486,793202.085,187.268186,157.903528,24408.26403,0.485211,208.156917,-84.378812,33.780769
0,0,1,0,0,0,0,0,4.393308,162.064676,-84.378635,33.781472
93,182.610623,4,1240.966109,1.2602e+6,253.236374,242.487013,40623.7888,0.226924,277.625679,-84.378632,33.780268
34,66.760834,7,1450.515346,684398.6519,154.448062,130.777533,16613.3578,1.155034,183.544453,-84.378652,33.780781
94,184.574401,6,1263.834051,1.2278e+6,272.489393,260.246183,40999.39572,1.420846,401.87316,-84.378552,33.779814
63,123.70393,8,1489.146931,1.1179e+6,239.939077,211.392942,26793.75687,0.333638,239.780729,-84.378472,33.781521
93,182.610544,2,1297.311757,1.3745e+6,266.751087,254.405577,40515.06422,0.147839,290.857724,-84.378514,33.780271
65,127.631296,11,1502.602286,1.0791e+6,254.428005,219.565781,27676.9587,0.353808,260.028182,-84.378484,33.780806
0,0,1,0,0,0,0,0,3.384677,165.156076,-84.378321,33.780324
0,0,1,0,0,0,0,0,4.016515,243.743614,-84.378332,33.779725
244,479.107231,10,1503.573571,4.8563e+6,745.887088,726.089528,123813.9572,0.158025,778.358512,-84.378229,33.781428
62,121.740457,8,1448.564247,1.0341e+6,201.060627,178.22008,28848.3318,0.44182,228.599877,-84.378332,33.780817
0,0,1,0,0,0,0,0,4.333692,156.448574,-84.378155,33.78032
22,43.198181,6,1132.020431,297155.9309,109.889225,82.894128,6969.604338,3.190659,228.166054,-84.378156,33.779717
94,184.574083,4,1403.13916,1.6292e+6,274.981214,263.868384,46279.66247,0.505273,302.806694,-84.378172,33.78092
104,204.209635,11,1512.372714,1.318e+6,299.905604,252.152573,44434.57364,0.545201,300.806314,-84.377955,33.781526
0,0,1,0,0,0,0,0,3.387722,200.429675,-84.377996,33.780322
73,143.339539,7,1325.262535,914495.7072,242.859523,207.531258,27353.57592,0.749723,257.428397,-84.377999,33.779721
52,102.104913,2,1357.308706,969213.2083,161.53074,154.149654,24261.17263,1.953292,293.862868,-84.377943,33.780917
48,94.250644,4,1471.503078,523911.5005,135.885217,120.807003,17506.24632,1.531678,212.838485,-84.377793,33.781542
0,0,1,0,0,0,0,0,3.086425,280.907546,-84.377812,33.780321
93,182.610462,4,1456.227922,1.1532e+6,199.152547,183.610281,47495.18948,0.812139,300.441002,-84.377788,33.780822
163,320.059437,4,1464.618699,2.1203e+6,369.347157,361.089605,78259.6163,1.129667,493.065647,-84.377531,33.781428
32,62.833783,4,1483.471255,450420.1778,82.294892,78.378911,15845.32491,0.858166,149.155316,-84.377512,33.780792
0,0,1,0,0,0,0,0,2.697727,216.849225,-84.377508,33.780301
39,76.578737,6,1519.540974,462967.6086,124.106924,95.654205,17336.59196,1.402603,181.09189,-84.377365,33.781511
0,0,1,0,0,0,0,0,3.613359,248.798968,-84.377337,33.780297
14,27.489741,5,1063.304474,156062.5392,51.309168,45.287933,4699.715355,1.922414,129.524639,-84.377194,33.781077
81,159.047999,9,1504.8974,1.3241e+6,254.899604,227.163864,39594.24013,0.913975,312.918856,-84.37721,33.781497
53,104.068513,5,1289.292725,739292.5022,197.238815,169.824651,19682.62863,0.818365,234.614153,-84.377186,33.780835
0,0,1,0,0,0,0,0,3.578671,213.487091,-84.377165,33.78031
10,19.635574,3,1286.398719,221528.0659,44.639919,40.418784,4391.579644,0.792268,59.323334,-84.376992,33.781261
47,92.287039,6,1360.612408,744021.0585,189.354904,169.384311,18939.13156,0.466989,199.148284,-84.377028,33.779706
64,125.667554,8,1375.96876,955737.4972,232.039724,186.99152,25175.6597,1.041484,234.281108,-84.377041,33.780819
80,157.084414,5,1429.768213,1.02e+6,239.021768,227.411785,33953.43783,0.28893,263.03969,-84.376934,33.779272
57,111.922606,6,1404.336378,736166.6645,158.709293,144.156571,25248.94391,0.839364,173.941176,-84.377008,33.780311
0,0,1,0,0,0,0,0,3.121785,231.277908,-84.376861,33.781521
35,68.724429,7,1488.273326,585713.6439,129.287415,111.980588,16943.02645,0.854755,140.391117,-84.376845,33.780322
38,74.615083,2,1208.978929,429705.5612,104.163776,97.21686,15751.43326,1.668365,160.03696,-84.376945,33.778102
0,0,1,0,0,0,0,0,5.007675,22.765056,-84.377946,33.78001
20,39.271118,4,1310.735374,225976.6431,64.220002,53.950581,8103.729372,1.540313,105.822616,-84.376855,33.779707
23,45.161662,4,1379.15073,361838.2809,86.18842,75.142591,11613.18895,1.13546,106.564734,-84.376875,33.781258
74,145.30318,12,1540.437513,1.1375e+6,316.350254,243.039169,33836.2197,0.556597,276.681541,-84.37668,33.780313
34,66.760904,7,1323.16167,527679.7461,129.130669,114.318271,14566.15211,0.732841,171.933678,-84.376494,33.779705
150,294.533348,1,1370.96006,2.0127e+6,336.551517,336.268397,70876.62567,0.555803,365.237431,-84.376584,33.780809
89,174.756394,7,1513.649571,1.1378e+6,296.504786,226.072687,40852.20024,0.412779,261.641521,-84.376508,33.780325
88,172.792784,6,1520.318032,982509.3467,230.870991,198.994281,39588.91933,0.217619,220.569289,-84.37634,33.779737
134,263.116362,11,1474.719747,1.5223e+6,321.767509,264.30952,55415.16658,1.009515,373.446794,-84.376336,33.78026
105,206.173311,6,1370.356493,1.276e+6,244.762728,216.330534,46044.14336,0.705947,273.391575,-84.376337,33.780816
121,237.590128,13,1469.113966,1.7208e+6,368.467588,296.895407,50429.37448,0.166663,324.006183,-84.376494,33.781496
62,121.74039,8,1534.34326,1.1642e+6,227.8341,185.453241,32267.32841,0.182921,207.739879,-84.37616,33.779737
69,135.485428,13,1548.355376,1.153e+6,276.090991,221.926751,32468.23818,0.478947,252.637762,-84.376178,33.780313
93,182.610633,5,1417.487967,1.387e+6,306.450338,284.159381,40903.96935,0.569,344.46402,-84.376116,33.779218
76,149.230179,9,1517.295373,1.2146e+6,262.935851,222.041722,36983.33392,0.185174,248.415255,-84.376005,33.779742
144,282.751788,11,1517.258816,1.7668e+6,466.728041,361.450265,56247.29953,0.593133,411.375015,-84.376233,33.781494
93,182.610616,2,1446.988372,1.4926e+6,232.160084,225.970018,47605.93407,0.12629,245.466122,-84.376016,33.780314
43,84.43289,6,1465.024174,792544.8169,157.406493,138.18225,19910.91284,0.199535,160.372665,-84.375826,33.77972
0,0,1,0,0,0,0,0,3.835924,168.668609,-84.375874,33.779305
79,155.120792,13,1473.854458,1.201e+6,276.739158,200.444421,36774.75437,0.632937,252.789602,-84.375842,33.780328
23,45.161759,4,1242.16825,272841.8936,87.387921,75.252454,7491.964003,1.311394,106.75659,-84.375846,33.780801
0,0,1,0,0,0,0,0,3.700528,133.76468,-84.375724,33.779278
19,37.307584,5,1331.09733,206627.6079,81.346898,57.973763,6315.139976,1.479851,116.227949,-84.37599,33.778064
57,111.922678,9,1444.916849,1.0041e+6,201.987646,181.153847,27026.39466,0.244999,208.16377,-84.375696,33.77973
51,100.141258,5,1260.57718,661453.9082,149.849251,131.937713,20510.07713,1.668086,258.979498,-84.375682,33.780322
0,0,1,0,0,0,0,0,3.040195,13.157051,-84.375534,33.781253
56,109.959144,3,1363.692234,770501.2627,160.226644,136.559542,24105.62232,0.618722,161.623372,-84.375682,33.781524
28,54.979478,5,1225.71508,496337.1327,126.41942,114.72076,9995.084005,1.577343,249.153147,-84.375522,33.78032
31,60.870281,6,1471.93581,631466.1004,130.797227,118.700405,14635.22009,0.086231,162.355048,-84.375524,33.779726
422,828.619922,17,1514.727962,6.2979e+6,1023.38562,937.26084,220388.7345,0.184641,1039.855787,-84.375346,33.781461
68,133.521798,6,1367.221649,935100.6,194.84634,170.323596,29405.12248,1.370783,267.730151,-84.375356,33.780823
0,0,1,0,0,0,0,0,3.614109,307.683063,-84.375348,33.780293
29,56.943046,7,1222.069857,422601.3484,118.400037,107.23409,10669.58119,0.710814,168.820533,-84.375207,33.779721
40,78.542189,8,1426.704204,838355.4132,178.23605,164.912524,18091.67682,0.526232,201.432136,-84.375193,33.780818
44,86.396354,4,1396.850059,582778.6304,143.220245,130.820747,18489.7543,0.862261,193.676767,-84.37507,33.779292
38,74.615185,4,1213.538967,468049.515,134.908181,123.962356,14089.80455,2.472998,209.866734,-84.3752,33.780323
74,145.302958,6,1514.888616,1.4754e+6,245.616988,225.389138,36568.6485,0.089806,256.107165,-84.375026,33.781517
29,56.943186,9,1393.299002,566749.4338,148.317125,132.73257,11761.88716,1.629686,236.855427,-84.375004,33.780822
0,0,1,0,0,0,0,0,3.093281,211.749256,-84.375008,33.780313
0,0,1,0,0,0,0,0,2.368167,119.079433,-84.375025,33.778616
19,37.30754,4,1216.243799,320313.4854,83.294924,77.158697,7539.568572,1.675216,164.754913,-84.375034,33.7797
39,76.578765,10,1473.233567,694518.0329,167.015545,133.350115,17957.97837,0.968824,229.143889,-84.374862,33.781507
0,0,1,0,0,0,0,0,3.490302,176.775513,-84.374785,33.778171
46,90.323542,5,1332.897933,688732.16,175.758667,160.271932,19394.07953,0.208166,182.546787,-84.374909,33.779288
36,70.687997,6,1396.980684,562355.5843,151.661535,136.07199,14931.00186,0.217279,151.878435,-84.374861,33.778655
36,70.687964,11,1380.279504,670982.6141,191.127167,160.068835,14789.10029,0.724823,195.910005,-84.374865,33.779728
38,74.615178,9,1378.848188,570462.7928,153.828908,122.201019,15356.31119,1.472043,241.840759,-84.37486,33.78083
55,107.995489,4,1266.077792,561739.5599,151.726281,135.294738,22092.11204,1.099909,201.834821,-84.374743,33.779265
56,109.959103,7,1349.407659,771648.2126,194.485053,170.479253,23540.04118,1.718196,285.764789,-84.374845,33.780297
81,159.048003,1,1351.754408,1.1981e+6,187.87426,187.757358,40061.58167,0.071003,211.257959,-84.374763,33.781291
0,0,1,0,0,0,0,0,4.171664,207.111611,-84.374647,33.778221
16,31.416931,4,1188.162703,309020.5434,75.561889,71.041093,6106.602187,2.209642,160.206915,-84.374706,33.780816
37,72.651607,6,1370.530363,778191.2905,162.366025,148.796357,15790.10755,1.352877,206.227107,-84.3747,33.780328
32,62.833818,6,1347.850608,556662.4875,141.211696,127.08527,13683.10446,0.693596,161.477301,-84.374661,33.778712
39,76.578731,5,1249.106452,616887.6183,153.805014,144.595598,15337.33479,1.097173,215.098353,-84.374702,33.779719
0,0,1,0,0,0,0,0,4.202655,213.674439,-84.374528,33.78151
0,0,1,0,0,0,0,0,3.072664,179.974105,-84.374585,33.779282
0,0,1,0,0,0,0,0,4.209628,198.829904,-84.37452,33.780803
0,0,1,0,0,0,0,0,3.148171,162.951733,-84.374493,33.778276
0,0,1,0,0,0,0,0,2.863852,284.232544,-84.374535,33.780307
78,153.157313,6,1459.846859,958120.3899,238.103061,188.008087,33893.56812,0.174807,205.941702,-84.37451,33.778752
55,107.99542,6,1336.589595,440799.1311,154.99173,110.86337,18611.91035,1.583459,207.773026,-84.374538,33.779731
47,92.286963,9,1416.401263,968654.6732,194.997626,176.497716,19687.95296,0.465666,212.598916,-84.374368,33.781508
40,78.54227,6,1230.405788,500320.7166,135.013634,116.223184,13835.08065,1.444495,165.455756,-84.374417,33.77928
6,11.781327,4,1313.935787,180827.5714,38.654169,35.073969,2467.102772,3.528536,208.585104,-84.374361,33.780809
0,0,1,0,0,0,0,0,4.514979,288.816395,-84.374366,33.780195
50,98.177779,5,1333.848941,737934.3504,158.355033,144.089751,20732.82555,0.563808,175.591796,-84.374378,33.779735
12,23.56264,3,982.949018,174242.0619,54.604906,50.696058,3779.907364,2.990282,206.335037,-84.374335,33.778266
32,62.833764,4,1168.936667,417125.884,110.187061,96.695015,11324.89348,2.190278,169.384872,-84.374251,33.779287
44,86.396462,4,1492.721626,738702.0093,142.478424,129.437446,21143.83227,0.013726,145.711118,-84.374318,33.778755
0,0,1,0,0,0,0,0,3.222357,251.058493,-84.37418,33.781509
51,100.141284,8,1386.467645,898021.5957,201.663189,183.941577,19953.07123,0.464226,211.10387,-84.37418,33.780327
0,0,1,0,0,0,0,0,3.355186,191.941679,-84.374193,33.779722
0,0,1,0,0,0,0,0,4.742759,149.491035,-84.374152,33.778292
45,88.359973,4,1239.011184,640994.4197,157.026296,137.814126,18044.22168,0.38253,159.464713,-84.374071,33.77929
47,92.28712,2,1340.118601,679601.1436,113.400065,111.387735,23686.05714,0.048127,124.670172,-84.374154,33.778747
0,0,1,0,0,0,0,0,0.952251,45.15618,-84.373862,33.779094
0,0,1,0,0,0,0,0,3.796895,167.768663,-84.373937,33.779712
44,86.396209,10,1390.589551,754451.1685,187.287818,153.893632,17033.60641,0.351143,176.566414,-84.373906,33.781534
37,72.65143,4,1419.962745,429494.5023,105.511702,82.797934,15203.30886,1.520489,188.755095,-84.373936,33.780328
44,86.396335,4,1118.518804,537635.3946,145.156078,132.950964,15481.00456,0.731131,155.922843,-84.374,33.778748
92,180.647077,8,1479.731306,1.2767e+6,248.99883,200.581161,42726.92465,0.254988,219.617776,-84.373951,33.780806
52,102.104843,5,1302.288853,709918.9022,167.114468,156.801585,19851.44078,0.854936,192.996843,-84.373747,33.779276
59,115.849705,5,1420.670535,838186.6203,175.409859,162.390846,25635.97327,0.608124,180.884068,-84.373777,33.779708
0,0,1,0,0,0,0,0,3.077529,192.362105,-84.373838,33.778744
45,88.359946,7,1421.885429,891350.2513,175.846746,160.534292,20129.27301,0.440265,188.522897,-84.373801,33.780803
67,131.558224,8,1244.863794,782631.6721,178.504764,173.845911,26242.62636,1.924404,431.822046,-84.373703,33.781424
57,111.922521,4,1474.681969,976477.6705,177.145678,162.301003,26929.24482,0.094007,180.838314,-84.373752,33.780328
43,84.43277,4,1318.867256,710738.0327,152.678385,142.853228,18798.89299,0.45415,169.547377,-84.37363,33.779708
31,60.870103,8,1242.881599,522757.898,136.901015,128.628219,11313.19225,2.206701,246.068659,-84.373594,33.779258
75,147.266805,11,1513.930912,995565.7701,242.872089,190.98135,33390.1566,0.356861,212.968095,-84.373618,33.780318
0,0,1,0,0,0,0,0,3.779905,208.206276,-84.373678,33.778748
36,70.687871,5,1351.117342,608971.9005,135.233938,123.998078,15703.77955,0.659142,160.81505,-84.373478,33.779707
28,54.979581,5,1277.125087,470547.1184,133.153355,119.546486,9804.274935,1.051341,165.502891,-84.373419,33.779297
45,88.359939,9,1466.344669,894977.971,171.59416,156.967442,19674.5025,0.818777,200.298656,-84.373516,33.780803
87,170.829116,5,1421.646965,1.2775e+6,240.377553,215.261235,42702.56789,0.15326,241.420385,-84.373471,33.780305
0,0,1,0,0,0,0,0,4.102971,222.034223,-84.37351,33.77876
48,94.250517,6,1525.5992,816290.2722,158.900757,143.768942,24386.78376,1.230202,197.528603,-84.373342,33.780801
56,109.959193,9,1497.558138,1.1072e+6,211.615007,191.462715,25587.60093,0.07577,211.164184,-84.373333,33.780332
56,109.958954,5,1405.921464,809865.8817,192.267377,173.544774,23213.14054,0.342874,204.156902,-84.373338,33.779683
15,29.453379,9,1445.75004,436098.7555,100.720689,83.634241,6506.641805,1.40382,169.537409,-84.373192,33.780804
52,102.104833,9,1460.066783,1.0897e+6,201.597863,185.368882,24455.04312,0.186317,203.953556,-84.373167,33.780336
66,129.594597,4,1362.0234,792312.1266,159.800801,156.666475,28676.03535,1.81264,220.120922,-84.373174,33.779691
63,123.703923,6,1492.429865,1.2317e+6,203.277361,181.365879,32484.17492,0.164981,212.145847,-84.37301,33.78032
0,0,1,0,0,0,0,0,4.207047,180.886965,-84.373022,33.779677
0,0,1,0,0,0,0,0,3.221847,244.58019,-84.375392,33.779231
0,0,1,0,0,0,0,0,4.504257,179.607852,-84.375543,33.779297
29,56.943141,3,1323.640297,390183.1835,108.167436,96.885362,10523.28446,2.235838,186.95452,-84.373735,33.777961
55,107.995545,6,1361.13892,583495.0321,167.033747,143.989956,22889.14223,1.25029,227.947046,-84.373099,33.777964
0,0,1,0,0,0,0,0,0.596559,28.496778,-84.37718,33.777948
34,66.76088,7,1472.195273,509379.1288,137.210522,111.158153,15831.59261,1.477761,192.859306,-84.378198,33.777978
0,0,1,0,0,0,0,0,4.172906,53.679621,-84.378021,33.777901
39,76.578596,6,1547.656907,755334.593,159.816896,146.319485,18664.46914,0.642115,197.783878,-84.378813,33.778047
0,0,1,0,0,0,0,0,3.337267,200.463463,-84.37496,33.777964
46,90.323549,5,1328.502174,543905.2,162.032513,147.335102,15874.06665,1.531617,210.888216,-84.373114,33.778106
35,68.724455,5,1259.984817,403691.3963,115.832718,103.697498,12969.03653,1.591446,179.710778,-84.377406,33.778087
0,0,1,0,0,0,0,0,3.003234,220.096087,-84.374894,33.778083
39,76.578685,7,1223.450279,702691.8351,192.364355,173.172805,14864.7838,0.624489,203.36641,-84.373726,33.778099
58,113.886196,7,1521.27917,920348.9528,188.217636,176.229756,27782.86589,0.366403,215.60964,-84.377401,33.778205
160,314.168766,4,1418.533328,1.8412e+6,426.076834,412.393205,68135.51821,0.686191,482.372756,-84.373149,33.778297
90,176.719986,7,1523.945358,1.2224e+6,251.228116,228.040235,47158.18382,0.663844,314.833033,-84.37882,33.778292
38,74.615112,3,1236.609799,453691.6006,107.194634,104.738258,15885.04735,1.39216,145.098213,-84.37375,33.778364
0,0,1,0,0,0,0,0,3.955833,198.693905,-84.378187,33.77829
74,145.303063,10,1540.767077,1.288e+6,287.80845,245.603821,34319.74805,0.194609,277.47996,-84.377378,33.778327
56,109.959095,4,1247.657867,736804.4696,163.88301,146.848342,23304.49548,0.60312,184.043092,-84.373556,33.778337
0,0,1,0,0,0,0,0,3.707024,143.781094,-84.375569,33.778241
25,49.088832,4,1402.181692,313617.3808,86.420988,73.423096,11556.58158,0.683075,172.74812,-84.378775,33.778431
39,76.578576,4,1310.296272,529884.4123,145.577733,131.108542,13253.6946,1.505327,208.592489,-84.378177,33.778438
0,0,1,0,0,0,0,0,3.625608,140.114418,-84.375528,33.778403
50,98.177758,9,1466.210909,818872.7302,212.575522,187.140106,19352.5647,0.550677,216.097814,-84.377393,33.77846
55,107.995515,8,1339.495835,857824.4908,217.95206,191.744836,22289.38493,0.867153,250.244095,-84.378156,33.77859
98,192.428529,11,1485.49097,1.2079e+6,293.266676,247.113893,43822.79607,0.72458,292.583263,-84.378779,33.778564
0,0,1,0,0,0,0,0,3.598193,304.041468,-84.376221,33.778468
0,0,1,0,0,0,0,0,3.451305,9.561601,-84.377981,33.778506
0,0,1,0,0,0,0,0,3.659274,144.564191,-84.37551,33.778545
0,0,1,0,0,0,0,0,5.089953,13.949048,-84.378056,33.778664
57,111.922605,9,1476.489577,879742.2011,204.308439,152.339352,26686.27552,0.208653,206.083433,-84.377394,33.778591
15,29.453285,3,1180.82963,190670.8248,59.600989,52.228861,5571.6205,3.280916,205.430442,-84.373109,33.778649
19,37.307544,1,1265.172114,284431.8335,53.771093,53.720073,8625.680277,0.490456,93.790277,-84.375467,33.778689
33,64.79734,4,1394.966781,439298.7239,115.067184,99.990021,13991.00666,2.246319,237.722273,-84.378714,33.778784
45,88.359979,5,1509.806231,800282.714,162.879011,149.551956,21454.87262,0.060491,181.844533,-84.377408,33.778699
72,141.375937,9,1458.617349,965398.4889,240.207995,200.854849,29081.22212,0.876461,240.740813,-84.378158,33.778773
73,143.339478,9,1405.562399,1.003e+6,247.479564,229.374891,29335.90126,0.511061,258.286101,-84.373118,33.77877
107,210.100397,6,1356.189919,1.4947e+6,321.069591,301.049061,47957.93104,0.139113,330.666886,-84.376215,33.778744
35,68.724401,7,1270.773323,462199.236,126.8843,109.265599,12587.29538,1.317122,160.197768,-84.3755,33.778798
44,86.396324,4,1486.020699,561106.7364,140.183836,121.498002,19576.21089,1.12128,197.096151,-84.377362,33.778827
0,0,2,0,0,0,0,0,1.91706,41.208935,-84.378036,33.778883
26,51.052487,1,1193.450135,237255.7848,65.129077,65.092857,10018.56717,3.606755,174.394974,-84.373091,33.778911
